tag,date,total_works,total_kudos,total_hits,total_words
Top Viktor (League of Legends),2022-02-21,26,17849,245636,100654
Top Vi (League of Legends),2022-02-21,24,23277,493835,137234
Top Vander (League of Legends),2022-02-21,3,1197,21101,18603
Top Silco (Arcane: League of Legends),2022-02-21,8,2570,38474,36318
Top Sevika (Arcane: League of Legends),2022-02-21,11,3217,74182,56223
Top Mel Medarda,2022-02-21,1,211,6101,810
Top Jinx (League of Legends),2022-02-21,2,790,22775,14536
Top Jayce (League of Legends),2022-02-21,24,35719,441936,104799
Top Ekko (League of Legends),2022-02-21,2,384,16972,27759
Top Caitlyn (League of Legends),2022-02-21,35,70332,1145700,245135
Top Viktor (League of Legends),2022-02-20,26,17849,245636,100654
Top Vi (League of Legends),2022-02-20,23,23254,491010,131591
Top Vander (League of Legends),2022-02-20,2,1023,17986,11623
Top Silco (Arcane: League of Legends),2022-02-20,7,2547,35649,30675
Top Sevika (Arcane: League of Legends),2022-02-20,11,3217,74182,56223
Top Mel Medarda,2022-02-20,1,211,6101,810
Top Jinx (League of Legends),2022-02-20,2,790,22775,14536
Top Jayce (League of Legends),2022-02-20,24,35719,441936,104799
Top Ekko (League of Legends),2022-02-20,2,384,16972,27759
Top Caitlyn (League of Legends),2022-02-20,35,70332,1145700,245135
Top Viktor (League of Legends),2022-02-19,26,17849,245636,100654
Top Vi (League of Legends),2022-02-19,23,23254,491010,131591
Top Vander (League of Legends),2022-02-19,2,1023,17986,11623
Top Silco (Arcane: League of Legends),2022-02-19,7,2547,35649,30675
Top Sevika (Arcane: League of Legends),2022-02-19,10,3103,70331,51681
Top Mel Medarda,2022-02-19,1,211,6101,810
Top Jinx (League of Legends),2022-02-19,2,790,22775,14536
Top Jayce (League of Legends),2022-02-19,24,35719,441936,104799
Top Ekko (League of Legends),2022-02-19,2,384,16972,27759
Top Caitlyn (League of Legends),2022-02-19,33,67765,1072980,183061
Top Viktor (League of Legends),2022-02-18,26,17849,245636,100654
Top Vi (League of Legends),2022-02-18,23,23254,491010,131591
Top Vander (League of Legends),2022-02-18,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-02-18,7,2547,35649,30675
Top Sevika (Arcane: League of Legends),2022-02-18,10,3103,70331,51681
Top Mel Medarda,2022-02-18,1,211,6101,810
Top Jinx (League of Legends),2022-02-18,2,790,22775,14536
Top Jayce (League of Legends),2022-02-18,22,34334,422203,95539
Top Ekko (League of Legends),2022-02-18,2,384,16972,27759
Top Caitlyn (League of Legends),2022-02-18,33,67765,1072980,183061
Top Viktor (League of Legends),2022-02-15,26,17849,245636,100654
Top Vi (League of Legends),2022-02-15,22,23118,486886,117079
Top Vander (League of Legends),2022-02-15,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-02-15,7,2547,35649,30675
Top Sevika (Arcane: League of Legends),2022-02-15,10,3103,70331,51681
Top Mel Medarda,2022-02-15,1,211,6101,810
Top Jinx (League of Legends),2022-02-15,2,790,22775,14536
Top Jayce (League of Legends),2022-02-15,22,34334,422203,95539
Top Ekko (League of Legends),2022-02-15,2,384,16972,27759
Top Caitlyn (League of Legends),2022-02-15,33,67765,1072980,183061
Top Viktor (League of Legends),2022-02-14,25,17686,242532,97029
Top Vi (League of Legends),2022-02-14,22,23118,486886,117079
Top Vander (League of Legends),2022-02-14,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-02-14,7,2547,35649,30675
Top Sevika (Arcane: League of Legends),2022-02-14,10,3103,70331,51681
Top Mel Medarda,2022-02-14,1,211,6101,810
Top Jinx (League of Legends),2022-02-14,2,790,22775,14536
Top Jayce (League of Legends),2022-02-14,22,34334,422203,95539
Top Ekko (League of Legends),2022-02-14,2,384,16972,27759
Top Caitlyn (League of Legends),2022-02-14,31,66477,1042004,174961
Top Viktor (League of Legends),2022-02-13,25,17686,242532,97029
Top Vi (League of Legends),2022-02-13,22,23118,486886,117079
Top Vander (League of Legends),2022-02-13,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-02-13,7,2547,35649,30675
Top Sevika (Arcane: League of Legends),2022-02-13,9,3044,68658,43682
Top Mel Medarda,2022-02-13,1,211,6101,810
Top Jinx (League of Legends),2022-02-13,2,790,22775,14536
Top Jayce (League of Legends),2022-02-13,22,34334,422203,95539
Top Ekko (League of Legends),2022-02-13,2,384,16972,27759
Top Caitlyn (League of Legends),2022-02-13,30,65191,1014176,169938
Top Viktor (League of Legends),2022-02-12,24,17276,233594,88222
Top Vi (League of Legends),2022-02-12,21,22696,474581,111339
Top Vander (League of Legends),2022-02-12,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-02-12,7,2547,35649,30675
Top Sevika (Arcane: League of Legends),2022-02-12,8,2938,65429,39468
Top Mel Medarda,2022-02-12,1,211,6101,810
Top Jinx (League of Legends),2022-02-12,1,429,16037,3924
Top Jayce (League of Legends),2022-02-12,21,33924,413265,86732
Top Ekko (League of Legends),2022-02-12,2,384,16972,27759
Top Caitlyn (League of Legends),2022-02-12,30,65191,1014176,169938
Top Viktor (League of Legends),2022-02-11,22,16576,225680,76351
Top Vi (League of Legends),2022-02-11,20,21327,417936,107783
Top Vander (League of Legends),2022-02-11,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-02-11,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-02-11,8,2938,65429,39468
Top Mel Medarda,2022-02-11,1,211,6101,810
Top Jinx (League of Legends),2022-02-11,1,429,16037,3924
Top Jayce (League of Legends),2022-02-11,21,33924,413265,86732
Top Ekko (League of Legends),2022-02-11,2,384,16972,27759
Top Caitlyn (League of Legends),2022-02-11,30,65191,1014176,169938
Top Viktor (League of Legends),2022-02-10,21,16499,224616,73725
Top Vi (League of Legends),2022-02-10,20,21327,417936,107783
Top Vander (League of Legends),2022-02-10,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-02-10,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-02-10,8,2938,65429,39468
Top Mel Medarda,2022-02-10,1,211,6101,810
Top Jinx (League of Legends),2022-02-10,1,429,16037,3924
Top Jayce (League of Legends),2022-02-10,21,33924,413265,86732
Top Ekko (League of Legends),2022-02-10,2,384,16972,27759
Top Caitlyn (League of Legends),2022-02-10,29,64130,992814,167161
Top Viktor (League of Legends),2022-02-09,21,16499,224616,73725
Top Vi (League of Legends),2022-02-09,20,21327,417936,107783
Top Vander (League of Legends),2022-02-09,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-02-09,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-02-09,8,2938,65429,39468
Top Mel Medarda,2022-02-09,1,211,6101,810
Top Jinx (League of Legends),2022-02-09,1,429,16037,3924
Top Jayce (League of Legends),2022-02-09,20,33599,405892,82200
Top Ekko (League of Legends),2022-02-09,2,384,16972,27759
Top Caitlyn (League of Legends),2022-02-09,29,64130,992814,167161
Top Viktor (League of Legends),2022-02-06,20,15722,216507,69579
Top Vi (League of Legends),2022-02-06,20,21327,417936,107783
Top Vander (League of Legends),2022-02-06,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-02-06,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-02-06,8,2938,65429,39468
Top Mel Medarda,2022-02-06,1,211,6101,810
Top Jinx (League of Legends),2022-02-06,1,429,16037,3924
Top Jayce (League of Legends),2022-02-06,20,33599,405892,82200
Top Ekko (League of Legends),2022-02-06,2,384,16972,27759
Top Caitlyn (League of Legends),2022-02-06,29,64130,992814,167161
Top Viktor (League of Legends),2022-02-04,19,15656,212586,69515
Top Vi (League of Legends),2022-02-04,20,21327,417936,107783
Top Vander (League of Legends),2022-02-04,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-02-04,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-02-04,8,2938,65429,39468
Top Mel Medarda,2022-02-04,1,211,6101,810
Top Jinx (League of Legends),2022-02-04,1,429,16037,3924
Top Jayce (League of Legends),2022-02-04,20,33599,405892,82200
Top Ekko (League of Legends),2022-02-04,2,384,16972,27759
